 ,"Employment: by employment status, by economic activity",,,,,,,,,,"GDP deflators: by expenditure components",,,,,,,"Unit labour cost: by economic activity",,,,,,,"Hourly labour cost: by components and by economic activity",,,,,,,"Exchange rates: effective exchange rates","US and Japan: main economic and financial indicators",,,,,,,,,,,,,,,,,,,,,,,"Industry and commodity prices: by type of goods and by industry","GDP: by expenditure components at current prices",,,,,,,"GDP: by expenditure components at constant prices",,,,,,,"Value added: by economic activity at current prices",,,,,,,,,"Value added: by economic activity, chain-linked volumes",,,,,,,,,"Confidence indicators: economic, manufacturing, consumer, construction, retail trade, services",
Name:,ESA.Q.I5.S.1000.TOTEMP.0000.TTTT.N.P.A,ESA.Q.I5.N.1000.TOTEMP.0000.TTTT.N.P.A,ESA.Q.I5.N.1000.EMPLOY.0000.TTTT.N.P.A,ESA.Q.I5.N.1000.SELFEM.0000.TTTT.N.P.A,ESA.Q.I5.N.1000.TOTEMP.0000.YA_B.N.P.A,ESA.Q.I5.N.1000.TOTEMP.0000.YC_E.N.P.A,ESA.Q.I5.N.1000.TOTEMP.0000.YF_F.N.P.A,ESA.Q.I5.N.1000.TOTEMP.0000.YG_I.N.P.A,ESA.Q.I5.N.1000.TOTEMP.0000.YJ_K.N.P.A,ESA.Q.I5.N.1000.TOTEMP.0000.YL_P.N.P.A,ESA.Q.I5.S.0000.B1QG00.1000.TTTT.D.U.I,ESA.Q.I5.S.1000.P30_50.0000.TTTT.D.U.I,ESA.Q.I5.S.1415.P31000.0000.TTTT.D.U.I,ESA.Q.I5.S.1300.P30000.0000.TTTT.D.U.I,ESA.Q.I5.S.1000.P51000.0000.TTTT.D.U.I,ESA.Q.I5.S.2000.P60000.0000.TTTT.D.U.I,ESA.Q.I5.S.0000.P70000.2000.TTTT.D.U.I,ESA.Q.I5.S.1000.UNLACO.0000.TTTT.D.U.I,ESA.Q.I5.S.1000.UNLACO.0000.YA_B.D.U.I,ESA.Q.I5.S.1000.UNLACO.0000.YC_E.D.U.I,ESA.Q.I5.S.1000.UNLACO.0000.YF_F.D.U.I,ESA.Q.I5.S.1000.UNLACO.0000.YG_I.D.U.I,ESA.Q.I5.S.1000.UNLACO.0000.YJ_K.D.U.I,ESA.Q.I5.S.1000.UNLACO.0000.YL_P.D.U.I,STS.Q.I5.Y.LCIT.NS0025.4.000,STS.Q.I5.W.LCIT.NS0025.4.000,STS.Q.I5.W.LCIW.NS0025.4.000,STS.Q.I5.W.LCIO.NS0025.4.000,STS.Q.I5.W.LCIT.NS0020.4.000,STS.Q.I5.W.LCIT.N100F0.4.000,STS.Q.I5.W.LCIT.NSG_K0.3.000,EXR.Q.Z59.EUR.ERU1.A,BISM.Q.VPNB.US.01,BISM.Q.RHGB.US.01,GST.Q.US.N.B1300.DEF.B0000.CU.G,GST.Q.US.N.B0X13.MAL.B1300.SA.G,BISM.Q.RHGB.JP.01,MUFA.Q.US.N.B8G.G.X.US.1000.Z5.ZZZZ.M.R,MUFA.Q.US.N.P50.G.X.Z5.ZZZZ.US.1000.M.R,MUFA.Q.US.N.BIC.G.X.US.1000.A1.1000.M.R,MUFA.Q.US.N.P50.G.X.Z5.ZZZZ.US.11US.M.R,MUFA.Q.US.N.T00.G.X.A1.1000.US.11US.M.R,MUFA.Q.US.N.B8G.G.X.US.11US.Z5.ZZZZ.M.R,MUFA.Q.US.N.T00.G.X.US.11US.A1.1000.M.R,MUFA.Q.US.N.P5C.G.X.Z5.ZZZZ.US.1415.M.R,MUFA.Q.US.N.T00.G.X.A1.1000.US.1415.M.R,MUFA.Q.US.N.B8C.G.X.US.1415.Z5.ZZZZ.M.R,MUFA.Q.US.N.T00.G.X.US.1415.A1.1000.M.R,MUFA.Q.JP.N.B8G.G.X.JP.1000.Z5.ZZZZ.M.J,MUFA.Q.JP.N.P50.G.X.Z5.ZZZZ.JP.1000.M.J,MUFA.Q.JP.N.BIC.G.X.JP.1000.A1.1000.M.J,MUFA.Q.JP.N.T00.G.X.A1.1000.JP.1100.M.J,MUFA.Q.JP.N.T00.G.X.JP.1100.A1.1000.M.J,MUFA.Q.JP.N.T00.G.X.A1.1000.JP.1415.M.J,MUFA.Q.JP.N.T00.G.X.JP.1415.A1.1000.M.J,STS.Q.I5.N.CINP.CC1100.4.000,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.V.U.A,ESA.Q.I6.Y.1415.P31000.0000.TTTT.V.U.A,ESA.Q.I6.Y.1300.P30000.0000.TTTT.V.U.A,ESA.Q.I6.Y.1000.P51000.0000.TTTT.V.U.A,ESA.Q.I6.Y.1000.P52_53.0000.TTTT.V.U.A,ESA.Q.I6.Y.2000.P60000.0000.TTTT.V.U.A,ESA.Q.I6.Y.0000.P70000.2000.TTTT.V.U.A,ESA.Q.I6.Y.0000.B1QG00.1000.TTTT.L.U.A,ESA.Q.I6.Y.1415.P31000.0000.TTTT.L.U.A,ESA.Q.I6.Y.1300.P30000.0000.TTTT.L.U.A,ESA.Q.I6.Y.1000.P51000.0000.TTTT.L.U.A,ESA.Q.I6.Y.1000.P52_53.0000.TTTT.L.U.A,ESA.Q.I6.Y.2000.P60000.0000.TTTT.L.U.A,ESA.Q.I6.Y.0000.P70000.2000.TTTT.L.U.A,ESA.Q.I6.Y.0000.B1G000.1000.TTTT.V.U.A,ESA.Q.I6.Y.0000.B1G000.1000.YA_B.V.U.A,ESA.Q.I6.Y.0000.B1G000.1000.YC_E.V.U.A,ESA.Q.I6.Y.0000.B1G000.1000.YF_F.V.U.A,ESA.Q.I6.Y.0000.B1G000.1000.YG_I.V.U.A,ESA.Q.I6.Y.0000.B1G000.1000.YJ_K.V.U.A,ESA.Q.I6.Y.0000.B1G000.1000.YL_P.V.U.A,ESA.Q.I6.Y.0000.P11900.1000.TTTT.V.U.A,ESA.Q.I6.Y.0000.D21X31.1000.TTTT.V.U.A,ESA.Q.I6.Y.0000.B1G000.1000.TTTT.L.U.A,ESA.Q.I6.Y.0000.B1G000.1000.YA_B.L.U.A,ESA.Q.I6.Y.0000.B1G000.1000.YC_E.L.U.A,ESA.Q.I6.Y.0000.B1G000.1000.YF_F.L.U.A,ESA.Q.I6.Y.0000.B1G000.1000.YG_I.L.U.A,ESA.Q.I6.Y.0000.B1G000.1000.YJ_K.L.U.A,ESA.Q.I6.Y.0000.B1G000.1000.YL_P.L.U.A,ESA.Q.I6.Y.0000.P11900.1000.TTTT.L.U.A,ESA.Q.I6.Y.0000.D21X31.1000.TTTT.L.U.A,SUR.Q.I5.S.ECFIN.MAN013.TT
Q4-1998      ,131181.76000 ,131482.02000 ,110901.87000 ,20580.15000 ,6674.04000 ,26632.47000 , 9740.35000 ,32739.95000 ,17282.82000 ,38412.39000 , 98.17999 , 96.76846 , 97.00970 , 96.01148 , 97.13906 , 95.31725 , 91.34292 , 99.02685 ,104.10253 ,103.80165 , 97.16458 ,100.13956 , 93.54340 , 96.38094        ,NA        ,NA        ,NA        ,NA        ,NA , 99.10000 ,100.40000 ,103.78006 , 98.10000 ,10507.60000 ,  0.49848 ,52.67385 ,491275.60000 ,18.03452 ,20.33201 ,-2.40554 ,8.89508 , 6.11282 ,7.66079 , 6.99357 ,12.84931 , 3.37328 ,12.20437 , 5.54182 ,27.27000 ,24.24000 ,2.66000 , 11.31000 , -4.92000 , 13.40000 ,-2.61000 , 80.99817 ,1566588.76000 , 901754.40000 ,310178.77000 ,323478.24000 ,  7174.01000 ,497898.77000 ,473895.44000 ,1595672.81000 , 929479.20000 ,323102.70000 ,332970.22000 ,NA ,522424.06000 ,518706.85000 ,1402561.66000 ,36827.10000 ,315905.55000 , 78117.01000 ,298364.12000 ,359837.80000 ,313510.08000 ,NA ,164027.10000 ,1430746.24000 ,36011.54000 ,312848.05000 ,81958.19000 ,298446.26000 ,374700.96000 ,327169.37000 ,NA ,164885.78000 ,82.30000
Q1-1999      ,131741.18000 ,130707.84000 ,110270.39000 ,20437.44000 ,6479.05000 ,26325.79000 , 9417.09000 ,32557.83000 ,17357.74000 ,38570.34000 , 98.14380 , 96.57797 , 96.98640 , 96.45774 , 96.67792 , 95.16793 , 90.70156 , 98.53917 , 99.56070 ,102.42810 , 96.63699 , 99.56689 , 94.92239 , 96.33110        ,NA        ,NA        ,NA        ,NA        ,NA , 91.50000 , 89.40000 ,100.00000 , 97.80000 ,10601.20000 ,  0.62523 ,52.07556 ,487650.00000 ,18.71405 ,20.64555 ,-2.44404 ,9.19237 ,11.36552 ,7.90986 ,10.99819 ,12.51581 , 4.58623 ,11.87159 , 6.24790 ,31.92000 ,28.70000 ,2.07000 , -0.88000 ,-15.95000 , -6.03000 , 2.63000 , 81.39594 ,1582084.32000 , 909737.21000 ,314927.98000 ,328270.04000 ,  7725.25000 ,499599.02000 ,478175.20000 ,1610439.79000 , 936849.59000 ,326202.92000 ,339175.44000 ,NA ,524609.75000 ,526573.40000 ,1417383.07000 ,37534.71000 ,315531.90000 , 79905.88000 ,299958.77000 ,366188.33000 ,318263.49000 ,NA ,164701.24000 ,1441393.96000 ,37738.50000 ,314253.53000 ,83542.83000 ,301991.00000 ,373949.33000 ,330196.04000 ,NA ,169035.51000 ,82.00000
Q2-1999      ,132201.83000 ,132186.30000 ,111746.21000 ,20440.08000 ,6595.05000 ,26244.37000 , 9723.30000 ,33013.07000 ,17809.28000 ,38801.22000 , 98.52643 , 97.27545 , 97.40463 , 97.24342 , 97.28830 , 95.39728 , 91.88568 , 99.22028 , 99.37859 ,102.40819 , 97.64576 ,100.12264 , 96.12244 , 97.49144        ,NA        ,NA        ,NA        ,NA        ,NA , 99.00000 , 97.70000 , 97.25071 , 97.40000 ,10684.00000 ,  0.69602 ,50.11978 ,490557.50000 ,17.99225 ,20.43684 ,-2.86313 ,9.25509 , 9.84863 ,8.00743 , 9.80573 ,12.89965 , 3.06152 ,11.08712 , 6.12395 ,23.28000 ,22.76000 ,2.38000 ,-18.10000 ,-13.81000 , 10.39000 ,-6.19000 , 82.01600 ,1597796.28000 , 918733.79000 ,317114.87000 ,335511.00000 ,  5243.02000 ,517849.18000 ,496655.59000 ,1620609.85000 , 942384.19000 ,325911.51000 ,344626.69000 ,NA ,542680.86000 ,540124.26000 ,1429779.89000 ,37219.40000 ,316008.52000 , 80839.09000 ,302387.97000 ,371899.57000 ,321425.33000 ,NA ,168016.38000 ,1451025.84000 ,37886.42000 ,316129.46000 ,83873.91000 ,303872.74000 ,378636.90000 ,330928.73000 ,NA ,169568.01000 ,81.80000
Q3-1999      ,132967.91000 ,133683.35000 ,113126.28000 ,20557.06000 ,6683.67000 ,26476.47000 , 9976.58000 ,33622.83000 ,18189.78000 ,38734.01000 , 98.74891 , 97.76296 , 97.65292 , 98.09187 , 97.98007 , 96.16822 , 93.43408 , 99.12654 , 98.44462 ,101.63819 , 97.76655 , 99.85631 , 96.36595 , 98.15372        ,NA        ,NA        ,NA        ,NA        ,NA , 96.00000 , 96.50000 , 95.50375 , 98.40000 ,10819.90000 ,  0.75810 ,49.17552 ,489236.10000 ,17.69618 ,20.58652 ,-3.22977 ,9.25820 ,10.65586 ,7.81064 ,11.06419 ,12.83966 , 3.63152 ,10.78409 , 6.03584 ,26.29000 ,26.07000 ,2.37000 ,  8.83000 ,  0.64000 ,  4.40000 , 2.28000 , 82.63830 ,1620583.48000 , 930854.12000 ,321756.79000 ,343342.81000 ,  3023.69000 ,539779.27000 ,518173.20000 ,1640092.31000 , 952429.80000 ,327833.12000 ,350192.43000 ,NA ,561136.67000 ,554171.74000 ,1448810.90000 ,37402.17000 ,321129.24000 , 82547.03000 ,306794.08000 ,375606.10000 ,325332.29000 ,NA ,171772.59000 ,1467630.40000 ,38324.00000 ,320797.12000 ,84705.29000 ,308978.17000 ,382545.56000 ,332452.01000 ,NA ,172454.63000 ,82.20000
Q4-1999      ,133625.04000 ,133958.48000 ,113472.44000 ,20486.04000 ,6544.46000 ,26494.63000 ,10039.25000 ,33536.91000 ,18322.42000 ,39020.81000 , 98.98460 , 98.23584 , 98.27440 , 98.68680 , 98.19274 , 97.05494 , 95.00811 , 99.17938 , 97.97070 ,100.86564 , 98.44599 ,100.03806 , 97.21390 , 98.79730        ,NA        ,NA        ,NA        ,NA        ,NA ,100.70000 ,103.20000 , 93.22733 , 98.10000 ,11014.30000 ,  0.67238 ,48.91043 ,492642.60000 ,17.87463 ,21.06234 ,-3.46515 ,9.56997 ,10.01249 ,7.82424 ,10.74881 ,12.65639 , 3.22763 ,10.68332 , 6.42082 ,27.58000 ,24.28000 ,2.14000 , 19.01000 , 13.28000 , 11.47000 , 2.09000 , 83.07381 ,1643210.72000 , 944959.03000 ,325519.15000 ,346860.53000 ,  7533.03000 ,559649.22000 ,541310.24000 ,1659201.42000 , 960941.50000 ,329693.53000 ,353048.16000 ,NA ,576414.15000 ,569430.56000 ,1467745.89000 ,37713.11000 ,327684.37000 , 83491.18000 ,309690.28000 ,381699.03000 ,327467.92000 ,NA ,175464.83000 ,1483998.21000 ,38663.34000 ,326462.42000 ,85407.25000 ,312231.12000 ,388217.69000 ,333075.89000 ,NA ,175203.60000 ,82.40000
Q1-2000      ,134456.09000 ,133332.62000 ,112839.33000 ,20493.28000 ,6366.05000 ,26219.69000 , 9802.02000 ,33382.93000 ,18456.69000 ,39105.23000 , 99.37675 , 99.13458 , 98.97931 , 99.25701 , 98.95832 , 98.25484 , 97.64530 , 99.34074 , 99.26039 ,100.52159 , 98.81510 ,100.01921 , 97.92186 , 98.90647 , 78.20000 , 73.20000 , 72.60000 , 75.10000 , 71.50000 , 94.20000 , 92.70000 , 88.75667 ,101.10000 ,11043.00000 ,  1.79103 ,47.91998 ,501755.70000 ,18.53182 ,20.52457 ,-3.77597 ,9.21540 ,11.20099 ,7.30796 ,12.12810 ,13.03370 , 2.16173 ,11.44706 , 7.66285 ,28.82000 ,28.45000 ,2.47000 , 12.46000 ,  5.67000 ,  0.66000 , 4.48000 , 84.73259 ,1669865.70000 , 960597.02000 ,331005.54000 ,358732.71000 ,  7173.65000 ,588184.18000 ,575827.40000 ,1679775.31000 , 970118.66000 ,333380.26000 ,362375.36000 ,NA ,598474.35000 ,589420.62000 ,1493638.81000 ,37786.94000 ,329378.52000 , 85970.89000 ,315187.86000 ,392967.32000 ,332347.27000 ,NA ,176226.89000 ,1504259.30000 ,38431.38000 ,331803.80000 ,87004.32000 ,316546.22000 ,395145.07000 ,335424.04000 ,NA ,175512.15000 ,83.80000
Q2-2000      ,135426.11000 ,135350.79000 ,114709.89000 ,20640.90000 ,6504.94000 ,26332.65000 ,10082.42000 ,33935.75000 ,18976.14000 ,39518.88000 , 99.75144 , 99.60062 , 99.53140 , 99.63638 , 99.68588 , 99.40445 , 99.02234 , 99.55262 , 99.61273 ,100.05664 , 99.95387 , 99.80361 , 99.48326 , 99.24431 , 79.10000 , 82.00000 , 82.30000 , 81.00000 , 81.70000 ,102.00000 ,100.70000 , 86.22614 , 99.60000 ,11258.50000 ,  1.52376 ,45.14394 ,502649.60000 ,18.04411 ,21.24135 ,-3.88759 ,9.74690 ,13.62123 ,7.38487 ,14.14748 ,12.61935 , 0.19553 ,11.05963 , 5.58119 ,23.97000 ,22.20000 ,2.64000 ,-21.08000 ,-17.35000 ,  8.73000 ,-6.12000 , 85.45309 ,1690681.34000 , 972877.33000 ,332898.05000 ,362672.18000 ,  9491.72000 ,611521.22000 ,598779.16000 ,1694797.69000 , 977390.34000 ,334090.18000 ,363786.27000 ,NA ,615136.55000 ,604595.71000 ,1513186.52000 ,37931.75000 ,336407.88000 , 85609.32000 ,320179.14000 ,397128.58000 ,335929.85000 ,NA ,177494.83000 ,1516747.35000 ,38301.65000 ,336498.85000 ,86070.02000 ,320976.19000 ,397594.50000 ,337311.28000 ,NA ,178042.00000 ,83.80000
Q3-2000      ,136178.70000 ,136948.11000 ,116122.86000 ,20825.25000 ,6561.13000 ,26666.64000 ,10280.33000 ,34548.52000 ,19361.57000 ,39529.92000 ,100.23420 ,100.36054 ,100.37536 ,100.29674 ,100.25479 ,100.39780 ,100.72414 ,100.35749 , 98.83153 , 99.87505 ,100.15101 , 99.99240 ,100.72670 ,100.84029 , 79.80000 , 78.10000 , 78.00000 , 78.20000 , 77.90000 , 99.30000 , 99.90000 , 84.62264 ,101.90000 ,11267.90000 ,  1.39556 ,43.85749 ,503030.00000 ,18.20230 ,20.83655 ,-4.30282 ,9.64478 ,14.38955 ,7.31882 ,13.73318 ,12.59879 , 1.13741 ,11.31467 , 6.18928 ,28.67000 ,25.78000 ,2.59000 , 11.31000 , -1.02000 , -0.43000 , 1.25000 , 86.06474 ,1706905.76000 , 983877.76000 ,336653.44000 ,367886.14000 ,  9351.92000 ,633998.92000 ,624862.41000 ,1703050.12000 , 980288.55000 ,335680.63000 ,366989.60000 ,NA ,631563.39000 ,620400.75000 ,1531234.10000 ,38605.32000 ,340335.03000 , 86501.08000 ,323915.32000 ,401819.27000 ,340058.08000 ,NA ,175671.66000 ,1526723.29000 ,38567.61000 ,339130.89000 ,86190.50000 ,323513.20000 ,400741.78000 ,338557.24000 ,NA ,176330.36000 ,84.20000
Q4-2000      ,136975.38000 ,137404.76000 ,116580.76000 ,20824.00000 ,6504.84000 ,26744.97000 ,10259.55000 ,34614.84000 ,19452.05000 ,39828.53000 ,100.62330 ,100.88637 ,101.09877 ,100.79838 ,101.08517 ,101.76932 ,102.37859 ,100.74915 ,102.29534 , 99.54671 ,101.08002 ,100.18478 ,101.86818 ,101.00893 , 80.80000 , 84.70000 , 84.40000 , 85.80000 , 85.70000 ,104.40000 ,106.70000 , 82.50383 ,101.60000 ,11334.50000 ,  1.19450 ,43.13381 ,508132.10000 ,17.38026 ,20.54839 ,-4.21885 ,9.22408 ,10.05660 ,7.24273 ,10.42357 ,12.50233 , 0.03396 ,10.78882 , 4.86004 ,28.44000 ,24.31000 ,1.79000 ,  7.09000 , 12.91000 ,  7.57000 , 0.53000 , 86.61769 ,1725825.38000 , 993619.67000 ,340233.23000 ,370899.95000 , 12540.41000 ,666858.71000 ,658326.58000 ,1715655.06000 , 983174.23000 ,337639.18000 ,367039.75000 ,NA ,655388.74000 ,643378.47000 ,1548804.28000 ,38643.86000 ,344707.21000 , 87831.14000 ,328999.66000 ,405546.71000 ,343075.70000 ,NA ,177021.09000 ,1539133.77000 ,37667.22000 ,343395.10000 ,86647.60000 ,327246.37000 ,403980.54000 ,340118.33000 ,NA ,176529.96000 ,84.70000
Q1-2001      ,137295.42000 ,136243.22000 ,115524.70000 ,20718.52000 ,6379.84000 ,26585.12000 , 9984.22000 ,34216.78000 ,19396.97000 ,39680.30000 ,101.46418 ,101.43527 ,101.51727 ,101.62958 ,100.90758 ,100.90858 ,100.81435 ,100.97912 ,103.44304 , 99.95762 ,101.27561 , 99.80676 ,101.71844 ,101.79269 , 81.20000 , 76.00000 , 75.40000 , 77.80000 , 74.40000 , 97.20000 , 96.40000 , 85.78626 ,102.70000 ,11297.20000 ,  0.92965 ,43.08701 ,510388.60000 ,17.41549 ,19.85286 ,-4.11162 ,8.72276 , 2.37243 ,7.19506 , 2.77631 ,12.70037 , 3.14375 ,10.80214 , 4.54765 ,30.04000 ,28.54000 ,2.34000 ,  9.03000 , -2.43000 , -4.14000 , 3.27000 , 87.45439 ,1752996.18000 ,1008065.15000 ,345068.68000 ,374080.09000 ,  6005.42000 ,661586.40000 ,641809.56000 ,1728528.16000 , 993513.74000 ,339687.49000 ,370903.89000 ,NA ,655892.90000 ,637026.99000 ,1574641.61000 ,39494.84000 ,348884.93000 , 89456.45000 ,335458.87000 ,414604.78000 ,346741.73000 ,NA ,178354.57000 ,1550691.72000 ,37518.43000 ,346501.73000 ,87541.53000 ,330500.03000 ,407970.10000 ,340659.90000 ,NA ,177836.43000 ,84.30000
Q2-2001      ,137651.13000 ,137580.46000 ,116779.98000 ,20800.48000 ,6447.88000 ,26538.49000 ,10211.70000 ,34644.99000 ,19723.51000 ,40013.88000 ,102.15155 ,102.08592 ,102.32404 ,102.36155 ,101.37607 ,101.45980 ,101.26273 ,101.84437 ,104.56976 ,101.06379 ,101.96279 ,100.26169 ,103.76954 ,102.60783 , 81.90000 , 84.80000 , 85.10000 , 84.00000 , 84.60000 ,105.20000 ,104.30000 , 82.98814 ,102.90000 ,11371.30000 ,  0.14950 ,41.42429 ,507404.70000 ,16.82352 ,19.57380 ,-3.72562 ,8.38821 , 2.79548 ,7.42477 , 2.24422 ,12.61949 , 4.92876 ,10.22140 , 7.21338 ,23.49000 ,22.00000 ,1.71000 ,-27.27000 ,-15.60000 , 12.00000 ,-4.59000 , 88.04569 ,1766090.55000 ,1020348.32000 ,348610.88000 ,373257.01000 ,  4736.98000 ,659964.39000 ,640827.02000 ,1729613.26000 , 997651.37000 ,340702.81000 ,368354.58000 ,NA ,650694.39000 ,633189.88000 ,1585422.42000 ,39860.34000 ,346018.33000 , 90238.07000 ,339516.99000 ,418558.50000 ,351230.21000 ,NA ,180668.13000 ,1549757.36000 ,37200.59000 ,343097.74000 ,87484.07000 ,331171.75000 ,408711.41000 ,342091.81000 ,NA ,179855.90000 ,83.10000
Q3-2001      ,138041.40000 ,138787.00000 ,117889.91000 ,20897.08000 ,6480.11000 ,26628.56000 ,10370.51000 ,35200.29000 ,20013.87000 ,40093.65000 ,102.73859 ,102.55869 ,102.66963 ,103.14876 ,101.76578 ,101.01740 ,100.47020 ,102.74917 ,104.11234 ,101.40203 ,101.74663 ,101.46253 ,104.89226 ,103.76293 , 82.70000 , 80.90000 , 80.90000 , 81.00000 , 80.60000 ,103.10000 ,104.00000 , 84.29800 ,103.10000 ,11340.10000 , -2.01937 ,41.90258 ,501602.20000 ,16.25929 ,19.04717 ,-3.48956 ,7.77221 , 0.74331 ,7.50741 ,-0.44203 ,12.66143 , 9.14094 ,11.85652 , 9.00924 ,25.05000 ,25.42000 ,2.18000 ,  3.09000 , -8.53000 , -5.74000 , 3.28000 , 88.40864 ,1777549.09000 ,1026368.44000 ,352634.17000 ,372123.69000 ,  2830.02000 ,652716.79000 ,629124.02000 ,1730930.29000 ,1000169.47000 ,342014.89000 ,365827.33000 ,NA ,646404.68000 ,626549.17000 ,1597691.89000 ,40031.51000 ,346141.70000 , 92169.12000 ,342596.24000 ,421369.72000 ,355383.60000 ,NA ,179857.20000 ,1552575.13000 ,37651.00000 ,341931.42000 ,88353.83000 ,331782.09000 ,410101.33000 ,342755.45000 ,NA ,178355.16000 ,82.70000
Q4-2001      ,138275.54000 ,138652.80000 ,117825.72000 ,20827.07000 ,6378.29000 ,26517.94000 ,10327.33000 ,35065.62000 ,20001.85000 ,40361.77000 ,103.54579 ,103.08456 ,102.96575 ,104.14853 ,101.74753 ,100.51378 , 99.10056 ,103.52206 ,101.90817 ,102.22981 ,102.66164 ,101.78572 ,105.44252 ,104.87235 , 83.20000 , 87.30000 , 87.00000 , 88.00000 , 88.40000 ,108.20000 ,110.80000 , 84.85265 ,102.90000 ,11380.10000 , -1.56559 ,42.53208 ,499387.90000 ,14.99145 ,18.13998 ,-3.35275 ,6.83267 , 1.11792 ,7.68628 ,-0.78144 ,13.08201 , 1.02962 ,10.26314 , 4.12769 ,24.59000 ,22.73000 ,2.06000 ,  4.41000 ,  5.84000 , 10.12000 ,-0.61000 , 88.41921 ,1793862.38000 ,1029355.42000 ,359879.79000 ,370056.39000 , -2760.13000 ,650035.16000 ,612704.26000 ,1733223.83000 ,1000223.35000 ,345694.77000 ,363870.24000 ,NA ,647022.18000 ,618624.20000 ,1613571.97000 ,40183.75000 ,343881.55000 , 92946.54000 ,344293.94000 ,431046.60000 ,361219.59000 ,NA ,180290.40000 ,1556199.45000 ,38280.43000 ,339723.11000 ,88676.11000 ,332565.32000 ,412180.61000 ,344773.87000 ,NA ,177024.38000 ,81.60000
Q1-2002      ,138693.63000 ,137584.80000 ,116858.08000 ,20726.72000 ,6230.56000 ,26234.96000 ,10024.64000 ,34728.47000 ,19935.14000 ,40431.03000 ,104.27994 ,103.58186 ,103.56442 ,104.78508 ,102.50212 ,100.35363 , 98.27482 ,104.18265 ,102.31290 ,102.29530 ,103.91833 ,102.60611 ,106.47062 ,105.26023 , 84.00000 , 78.80000 , 77.80000 , 81.50000 , 76.70000 ,100.70000 ,100.20000 , 84.42764 ,102.00000 ,11477.90000 , -3.50329 ,42.90185 ,500856.10000 ,14.86141 ,18.42845 ,-4.08590 ,7.12846 , 2.23394 ,7.57612 , 2.12208 ,12.92223 , 9.05174 ,11.80335 , 7.68419 ,30.71000 ,26.62000 ,3.44000 ,  9.17000 , -4.89000 , -6.68000 , 2.53000 , 89.62022 ,1810873.93000 ,1035432.52000 ,363051.46000 ,372007.81000 , -1914.21000 ,653844.87000 ,611548.52000 ,1737264.52000 ,1000256.51000 ,346603.88000 ,363074.43000 ,NA ,651711.67000 ,622554.05000 ,1630269.78000 ,39697.76000 ,346555.01000 , 93812.49000 ,349843.92000 ,434387.73000 ,365972.87000 ,NA ,180604.15000 ,1561017.07000 ,37870.88000 ,340394.39000 ,88366.58000 ,333528.82000 ,413749.09000 ,347021.15000 ,NA ,176200.28000 ,80.60000
Q2-2002      ,138751.34000 ,138816.59000 ,117979.67000 ,20836.93000 ,6327.87000 ,26257.91000 ,10225.83000 ,34993.34000 ,20241.14000 ,40770.51000 ,104.63298 ,103.91232 ,104.04741 ,105.35970 ,102.73141 ,100.73237 , 98.59135 ,104.41520 ,103.33336 ,102.15454 ,106.43836 ,102.73414 ,106.49070 ,106.11561 , 84.70000 , 87.80000 , 87.80000 , 87.80000 , 87.30000 ,109.50000 ,108.30000 , 86.33773 ,101.50000 ,11538.80000 , -3.93514 ,43.21873 ,504932.60000 ,14.50708 ,18.38174 ,-4.41805 ,6.99126 , 0.83434 ,7.63561 , 0.36913 ,12.99928 , 2.03816 ,11.70952 , 6.83396 ,22.92000 ,20.55000 ,2.86000 ,-28.31000 ,-24.09000 ,  5.90000 ,-8.64000 , 90.12167 ,1825459.81000 ,1043706.26000 ,368457.02000 ,368494.05000 , -2135.50000 ,667145.45000 ,620207.47000 ,1745561.21000 ,1003698.36000 ,349886.86000 ,358902.24000 ,NA ,662613.06000 ,629515.43000 ,1641282.02000 ,38476.45000 ,350084.99000 , 92929.62000 ,350843.08000 ,439712.99000 ,369234.88000 ,NA ,184177.79000 ,1567314.00000 ,37854.61000 ,342807.10000 ,86718.72000 ,334227.99000 ,418051.16000 ,347608.99000 ,NA ,178219.98000 ,81.10000
Q3-2002      ,138905.58000 ,139585.17000 ,118738.29000 ,20846.89000 ,6335.30000 ,26343.76000 ,10330.56000 ,35332.41000 ,20398.64000 ,40844.51000 ,105.44105 ,104.53501 ,104.48165 ,106.64087 ,103.00812 ,100.60157 , 97.92340 ,104.84197 ,103.88324 ,102.28370 ,106.54707 ,103.10965 ,107.16921 ,107.24136 , 85.60000 , 83.80000 , 83.40000 , 84.90000 , 83.50000 ,107.70000 ,107.60000 , 89.26251 ,100.60000 ,11596.40000 , -3.96199 ,43.84195 ,508861.00000 ,13.88317 ,18.43917 ,-4.41761 ,7.07074 ,-0.40307 ,7.69413 ,-0.81468 ,13.10252 , 3.89757 ,11.13264 , 6.87770 ,23.79000 ,23.63000 ,2.73000 ,  1.12000 ,-10.16000 , -8.19000 ,-0.41000 , 90.70378 ,1846000.27000 ,1055451.83000 ,374187.20000 ,372276.27000 , -4902.99000 ,670471.67000 ,621483.72000 ,1751886.45000 ,1010871.63000 ,351089.50000 ,361658.75000 ,NA ,666975.17000 ,635230.55000 ,1658446.52000 ,38271.87000 ,353628.30000 , 94469.04000 ,354831.41000 ,443874.28000 ,373371.62000 ,NA ,187553.74000 ,1571066.60000 ,37684.01000 ,344096.41000 ,87280.39000 ,335679.09000 ,418090.80000 ,348205.70000 ,NA ,180826.05000 ,81.00000
