forecast_year,forecast_quarter,target_year,target_quarter,num_respones,forecast_origin,target_point,diffin
2011,2,2012,4,55,2011.5,2013,1.5
2011,3,2012,1,50,2011.75,2012.25,0.5
2011,3,2013,1,50,2011.75,2013.25,1.5
2011,4,2012,2,64,2012,2012.5,0.5
2011,4,2013,2,64,2012,2013.5,1.5
2012,1,2012,3,58,2012.25,2012.75,0.5
2012,1,2013,3,58,2012.25,2013.75,1.5
2012,2,2012,4,56,2012.5,2013,0.5
2012,2,2013,4,56,2012.5,2014,1.5
2012,3,2013,1,50,2012.75,2013.25,0.5
2012,3,2014,1,50,2012.75,2014.25,1.5
2012,4,2013,2,56,2013,2013.5,0.5
2012,4,2014,2,56,2013,2014.5,1.5
2013,1,2013,3,56,2013.25,2013.75,0.5
2013,1,2014,3,56,2013.25,2014.75,1.5
2013,2,2013,4,53,2013.5,2014,0.5
2013,2,2014,4,53,2013.5,2015,1.5
2013,3,2014,1,51,2013.75,2014.25,0.5
2013,3,2015,1,51,2013.75,2015.25,1.5
2013,4,2014,2,54,2014,2014.5,0.5
2013,4,2015,2,54,2014,2015.5,1.5
2014,1,2014,3,53,2014.25,2014.75,0.5
2014,1,2015,3,53,2014.25,2015.75,1.5
2014,2,2014,4,58,2014.5,2015,0.5
2014,2,2015,4,58,2014.5,2016,1.5
2014,3,2015,1,59,2014.75,2015.25,0.5
2014,3,2016,1,59,2014.75,2016.25,1.5
2014,4,2015,2,61,2015,2015.5,0.5
2014,4,2016,2,61,2015,2016.5,1.5
2015,1,2015,3,59,2015.25,2015.75,0.5
2015,1,2016,3,59,2015.25,2016.75,1.5
2015,2,2015,4,59,2015.5,2016,0.5
2015,2,2016,4,59,2015.5,2017,1.5
2015,3,2016,1,54,2015.75,2016.25,0.5
2015,3,2017,1,54,2015.75,2017.25,1.5
2015,4,2016,2,60,2016,2016.5,0.5
2015,4,2017,2,60,2016,2017.5,1.5
2016,1,2016,3,57,2016.25,2016.75,0.5
2016,1,2017,3,57,2016.25,2017.75,1.5
2016,2,2016,4,53,2016.5,2017,0.5
2016,2,2017,4,53,2016.5,2018,1.5
2016,3,2017,1,51,2016.75,2017.25,0.5
2016,3,2018,1,51,2016.75,2018.25,1.5
2016,4,2017,2,47,2017,2017.5,0.5
2016,4,2018,2,47,2017,2018.5,1.5
2017,1,2017,3,56,2017.25,2017.75,0.5
2017,1,2018,3,56,2017.25,2018.75,1.5
2017,2,2017,4,56,2017.5,2018,0.5
2017,2,2018,4,56,2017.5,2019,1.5
2017,3,2018,1,56,2017.75,2018.25,0.5
2017,3,2019,1,56,2017.75,2019.25,1.5
2017,4,2018,2,58,2018,2018.5,0.5
2017,4,2019,2,58,2018,2019.5,1.5
2018,1,2018,3,56,2018.25,2018.75,0.5
2018,1,2019,3,56,2018.25,2019.75,1.5
2018,2,2018,4,58,2018.5,2019,0.5
2018,2,2019,4,58,2018.5,2020,1.5
2018,3,2019,1,56,2018.75,2019.25,0.5
2018,3,2020,1,56,2018.75,2020.25,1.5
2018,4,2019,2,54,2019,2019.5,0.5
2018,4,2020,2,54,2019,2020.5,1.5
2019,1,2019,3,58,2019.25,2019.75,0.5
2019,1,2020,3,58,2019.25,2020.75,1.5
2019,2,2019,4,56,2019.5,2020,0.5
2019,2,2020,4,56,2019.5,2021,1.5
2019,3,2020,1,52,2019.75,2020.25,0.5
2019,3,2021,1,52,2019.75,2021.25,1.5
2019,4,2020,2,53,2020,2020.5,0.5
2019,4,2021,2,53,2020,2021.5,1.5
2020,1,2020,3,58,2020.25,2020.75,0.5
2020,2,2020,4,57,2020.5,2021,0.5
2020,2,2021,4,57,2020.5,2022,1.5
2020,3,2021,1,59,2020.75,2021.25,0.5
2020,3,2022,1,50,2020.75,2022.25,1.5
2020,4,2021,2,66,2021,2021.5,0.5
2021,1,2021,3,65,2021.25,2021.75,0.5
2021,1,2022,3,19,2021.25,2022.75,1.5
2021,2,2021,4,63,2021.5,2022,0.5
2021,2,2022,4,49,2021.5,2023,1.5
2021,3,2022,1,57,2021.75,2022.25,0.5
2021,3,2023,1,57,2021.75,2023.25,1.5
2021,4,2022,2,58,2022,2022.5,0.5
2021,4,2023,2,58,2022,2023.5,1.5
2022,1,2022,3,62,2022.25,2022.75,0.5
2022,1,2023,3,62,2022.25,2023.75,1.5
2022,2,2022,4,58,2022.5,2023,0.5
2022,2,2023,4,58,2022.5,2024,1.5
2022,3,2023,1,56,2022.75,2023.25,0.5
2022,3,2024,1,56,2022.75,2024.25,1.5
2022,4,2023,2,47,2023,2023.5,0.5
2022,4,2024,2,37,2023,2024.5,1.5
2023,1,2023,3,47,2023.25,2023.75,0.5
2023,1,2024,3,43,2023.25,2024.75,1.5
2023,2,2023,4,47,2023.5,2024,0.5
2023,2,2024,4,47,2023.5,2025,1.5
2023,3,2024,1,48,2023.75,2024.25,0.5
2023,3,2025,1,34,2023.75,2025.25,1.5
2023,4,2024,2,53,2024,2024.5,0.5
2023,4,2025,2,46,2024,2025.5,1.5
2024,1,2024,3,48,2024.25,2024.75,0.5
2024,1,2025,3,42,2024.25,2025.75,1.5
2024,2,2024,4,56,2024.5,2025,0.5
2024,2,2025,4,49,2024.5,2026,1.5
2024,3,2025,1,49,2024.75,2025.25,0.5
2024,3,2026,1,38,2024.75,2026.25,1.5
2024,4,2025,2,48,2025,2025.5,0.5
2024,4,2026,2,37,2025,2026.5,1.5
